,tweet,hashtags,class,label
0,pil file twitter promote khalistan good initiative sikh community try sa,"['PIL', 'Twitter', 'Khalistan', 'SikhCommunity']",,1.0
1,,"['Kashmir_With_India', 'ShameOnSFJ', 'ShameOnPannun', 'Khalis']",,1.0
2,pakistan around partition weve never see photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",,1.0
3,pannun no shame leave,"['Pannun', 'Khalistan']",,1.0
4,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],,1.0
5,pil file twitter promote khalistan good initiative sikh community try sa,"['PIL', 'Twitter', 'Khalistan', 'SikhCommunity']",,1.0
6,,"['Kashmir_With_India', 'ShameOnSFJ', 'ShameOnPannun', 'Khalis']",,1.0
7,pakistan around partition weve never see photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",,1.0
8,pannun no shame leave,"['Pannun', 'Khalistan']",,1.0
9,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],,1.0
10,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
11,pannun not listen real sikh imaginary world doesnt care sikh community,"['Pannun', 'RealSikhs', 'SikhCommunity']",,1.0
12,,[],,1.0
13,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],,1.0
14,gherao sept truck rally day modi solution farmersbill sfj khalistan register,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan', 'Register']",,1.0
15,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],,1.0
16,pig india no no not regular pig who demand loha sharia pig who demand,['India'],,1.0
17,gherao sept truck rally day modi solution farmersbill sfj khalistan,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
18,pannun not listen real sikh imaginary world doesnt care sikh community,"['Pannun', 'RealSikhs', 'SikhCommunity']",,1.0
19,mp barrs journalist view tweet mean mp scar hold accountable,[],,1.0
20,what would call video watch tight slap dose humiliation sfj khalistani separ,"['SFJ', 'KhalistaniSepar']",,1.0
21,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
22,b namaste invite watch late video terry milewski report expose pakistan role khalistan move,"['Terry', 'Pakistan', 'Khalistan']",,1.0
23,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],,1.0
24,farmer register vote october maximum register vote get grant money sfj,[],,1.0
25,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",,1.0
26,no way leave modi except may free kashmir vacant space way,['Modi'],,1.0
27,no way leave modi except may free kashmir vacant space way,['Modi'],,1.0
28,pakistan around partition weve never see photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",,1.0
29,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
30,mr pannun what real indian sikh want sikh inseparable part india proud,"['Sikh', 'India']",,1.0
31,mr pannun what real indian sikh want sikh inseparable part india proud,"['Sikh', 'India']",,1.0
32,canadian thinktank recently publish report which argue khalistan separatist movement project,['Khalistan'],,1.0
33,exclusive break news khalistani supporter video show khalistan not subject,"['Breaking', 'KhalistaniSupporters', 'Khalistan']",,1.0
34,solution farmersbill khalistan sfj modi register vote,"['farmersbill2020', 'khalistan', 'sfj', 'modi', 'Register2Vote2020']",,1.0
35,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
36,mr pannun what real indian sikh want sikh inseparable part india proud,"['Sikh', 'India']",,1.0
37,please stop rally cm gherao modi truck rally th sept solution,"['Modi', 'TruckRally']",,1.0
38,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],,1.0
39,solution farmersbill sfj khalistan th september get ready,"['Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
40,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
41,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
42,cm solution farmersbill sfj khalistan register vote khalistan,"['Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
43,punjab farmer sikh punjab show power modi protest policy ge,"['PunjabFarmers', 'Modi']",,1.0
44,get ready gherao modi truck rally th sept solution farmersbill suffer farmer,"['GheraoModi', 'TruckRally', 'Farmersbill2020']",,1.0
45,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
46,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],,1.0
47,get ready gherao modi truck rally th sept solution farmersbill suffer farmer,"['Modi', 'TruckRally', 'Farmersbill2020']",,1.0
48,get ready gherao modi truck rally th sept solution farmersbill suffer farmer,"['Modi', 'TruckRally', 'Farmersbill2020']",,1.0
49,cm gherao modi truck rally th sept solution farmersbill sfj khalistan farmer w,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
50,b account withhold india response legal demand learn,[],,1.0
51,start trend pakistan remember dr najeeb khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",,1.0
52,b account withhold india response legal demand learn,[],,1.0
53,pannun no shame leave,"['Pannun', 'Khalistan']",,1.0
54,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
55,shame khalistani supporter whoever do no right stay punjab request leave ou,['ShameOnKhalistaniSupporters'],,1.0
56,pannun amp minion dont try hard wont get neither vote nor socalled khalistan bo,['Khalistan'],,1.0
57,start trend pakistan remember dr najeeb khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",,1.0
58,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
59,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
60,cm gherao modi truck rally th sept truck driver urge understand fe,"['Modi', 'TruckRally']",,1.0
61,cm solution farmersbill sfj khalistan register vote,"['Farmersbill2020', 'SFJ', 'Khalistan', 'Register2Vote2020']",,1.0
62,cm gherao modi truck rally th sept truck drive urge reach delhi visible,"['Modi', 'TruckRally']",,1.0
63,start trend pakistan remember dr najeeb khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",,1.0
64,stop modi target land punjab farmer solution khalistan register vote,"['Modi', 'PunjabFarmers', 'Khalistan', 'Register2Vote2020']",,1.0
65,farmer register vote october maximum register vote get grant money sfj,[],,1.0
66,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],,1.0
67,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],,1.0
68,people ask khalistan,['Khalistan'],,1.0
69,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
70,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],,1.0
71,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],,1.0
72,charm hour long discussion channel president shiromani akali dal amritsar,[],,1.0
73,gherao modi truck rally th sept solution khalistan justice prevail,"['TruckRally', 'Khalistan']",,1.0
74,cm gherao modi truck rally th sept not accept farmer bill solution,"['Modi', 'TruckRally']",,1.0
75,no way leave modi except may free kashmir vacant space way,['Modi'],,1.0
76,no way leave modi except may free kashmir vacant space way khalistan,"['Modi', 'Khalistan']",,1.0
77,cm gherao modi truck rally th sept solution farmersbill sfj raise voic,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
78,cm capt amarinder amp power doesn,[],,1.0
79,solution farmersbill khalistan cm gherao modi truck rally,"['Farmersbill2020', 'Khalistan', 'TruckRally']",,1.0
80,solution farmersbill khalistan cm gherao modi truck rally,"['Farmersbill2020', 'Khalistan', 'TruckRally']",,1.0
81,pannun amp minion dont try hard wont get neither vote nor socalled khalistan bo,['Khalistan'],,1.0
